 26 27 28 30
 30 27 33 35
 30 31 42 36
 27 31 45 41
 24 39 48 42
 30 42 53 44
 28 47 61 49
 34 49 67 53
 31 57 73 61
 37 57 84 68
 41 68 100 78
 46 78 111 86
 54 91 124 97
 57 107 132 94
 55 123 134 103
 61 135 157 106
 65 142 174 113
 78 163 198 121
 81 187 209 133
 85 189 214 144
 93 212 231 173
 102 231 255 183
 107 244 266 203
 110 269 282 206
 116 293 309 219
 127 310 321 238
 137 341 326 261
 147 361 355 285
 149 401 355 298
 152 429 380 320
 167 428 391 334
 179 459 420 338
 187 488 447 359
 208 521 466 372
 198 539 494 381
 201 562 507 396
 207 563 532 404
 206 577 535 404
 201 588 549 396
 216 615 547 406
 210 643 560 421
 202 664 586 408
 198 679 591 419
 195 656 601 420
 189 643 593 421
 179 638 578 410
 179 649 573 409
 174 641 575 405
 167 635 563 406
 163 619 535 407
 149 606 524 409
 144 600 501 415
 144 597 498 396
 149 574 499 381
 145 567 472 374
 143 545 464 355
 144 496 461 355
 139 462 429 341
 134 433 400 333
 125 421 389 311
 122 404 372 307
 127 387 367 288
 118 370 366 286
 119 356 361 272
 108 347 353 250
 97 330 346 242
 97 319 319 236
 100 319 305 239
 99 322 310 223
 100 298 278 223
 98 294 272 220
 100 281 255 212
 98 271 246 217
 89 269 237 208
 87 269 226 199
 81 259 214 193
 78 258 210 187
 83 249 200 172
 77 231 187 165
 69 229 186 154
 71 217 182 147
 66 213 178 140
 64 207 167 137
 59 203 165 137
 56 195 157 131
 59 188 154 122
 56 184 156 106
 54 178 147 101
 49 180 148 94
 49 175 143 89
 49 167 136 84
 45 155 130 82
 44 153 127 86
 40 149 127 86
 36 141 118 86
 36 137 116 81
 35 139 113 83
 36 136 116 82
 34 127 114 78
 30 131 117 81
 29 123 118 78
 27 118 105 82
 25 122 102 78
 25 118 96 76
 26 112 94 75
 27 113 95 68
 27 120 93 68
 26 121 87 64
 25 108 90 61
 24 113 92 59
 24 111 92 58
 22 113 93 55
 20 110 91 53
 20 111 89 53
 20 110 87 58
 20 114 85 58
 21 117 88 58
 21 118 85 59
 19 113 91 58
 17 113 85 59
 13 118 87 62
 11 117 85 59
 12 124 77 52
 12 126 81 48
 12 123 88 49
 11 124 84 50
 11 131 78 49
 14 124 76 49
 13 124 76 45
 12 120 82 46
 11 125 82 47
 10 135 79 46
 10 135 75 48
 11 133 77 50
 13 138 73 54
 12 136 77 57
 12 133 83 60
 14 135 82 57
 14 143 81 57
 13 139 89 59
 14 141 98 55
 12 146 100 59
 12 141 106 56
 10 147 110 60
 13 157 110 59
 12 162 110 57
 12 171 118 61
 13 179 128 60
 16 187 117 57
 17 192 115 55
 19 201 123 54
 19 209 125 54
 21 217 123 56
 22 219 114 54
 24 230 120 56
 23 241 118 58
 27 237 106 60
 26 238 106 64
 29 253 110 68
 30 258 117 71
 29 251 129 77
 31 263 120 78
 32 269 114 78
 32 287 117 80
 30 301 124 78
 34 316 126 79
 36 322 129 85
 42 328 124 87
 40 334 124 85
 41 341 133 87
 42 333 135 87
 42 346 138 86
 49 356 143 87
 52 372 139 80
 52 365 137 81
 53 366 140 83
 55 390 137 91
 57 412 139 86
 53 421 148 88
 54 428 152 89
 58 445 155 86
 63 475 153 86
 70 489 153 80
 72 503 158 78
 71 522 153 73
 73 518 150 74
 72 526 148 72
 70 532 151 71
 72 542 145 69
 76 545 144 70
 70 534 142 75
 70 545 141 74
 77 536 140 71
 72 531 134 69
 67 534 136 64
 71 560 145 65
 75 567 142 64
 79 570 147 63
 78 577 147 62
 85 571 147 63
 96 576 152 59
 98 591 155 55
 97 602 157 53
 104 608 157 54
 109 595 151 52
 112 580 148 50
 106 575 143 42
 107 561 138 42
 112 561 142 40
 109 563 135 36
 115 565 129 36
 113 573 130 35
 112 584 130 33
 115 575 133 31
 109 584 130 30
 111 593 131 29
 109 587 136 26
 112 587 132 26
 108 594 138 25
 113 597 132 27
 115 611 127 24
 106 615 122 22
 99 596 128 19
 101 596 132 19
 93 595 128 19
 94 585 121 18
 100 584 124 19
 101 573 123 18
 99 538 124 19
 103 531 123 18
 101 514 113 17
 100 501 113 15
 87 501 114 15
 93 490 110 15
 97 471 109 16
 106 467 97 14
 97 452 92 12
 94 441 97 16
 97 439 94 15
 91 438 97 14
 92 442 92 13
 94 442 87 12
 100 445 85 10
 100 442 80 9
 106 450 75 6
 109 459 71 5
 108 453 69 5
 104 460 74 2
 101 473 71 2
 109 471 72 2
 106 477 69 1
 103 483 64 1
 102 466 66 1
 97 463 66 1
 93 462 60 1
 95 465 58 0
 94 452 57 0
 98 443 55 0
 94 449 57 0
 97 455 52 0
 96 448 58 0
 84 446 62 0
 83 438 64 0
 85 423 65 0
 88 409 65 0
 87 412 64 0
 81 421 63 0
 82 426 67 0
 82 423 64 0
 82 431 57 0
 76 432 52 0
 75 445 61 0
 69 439 62 0
 64 420 66 0
 66 419 63 0
 66 407 60 0
 60 400 67 0
 60 394 68 0
 63 395 69 0
 59 398 65 0
 60 407 66 0
 60 408 62 0
 59 404 60 0
 53 398 59 1
 60 383 60 1
 62 393 59 1
 65 389 62 1
 62 407 62 1
 62 398 61 1
 64 387 65 1
 65 398 69 1
 75 392 65 1
 70 375 65 0
 73 371 70 0
 83 374 68 0
 88 368 64 0
 83 375 64 0
 77 380 64 0
 76 380 64 0
 78 374 64 0
 75 385 64 0
 77 375 66 0
 76 368 56 0
 80 349 51 0
 77 333 51 0
 72 332 57 0
 69 328 58 0
 68 327 56 0
 77 327 57 0
 72 339 54 0
 65 336 51 0
 62 336 52 0
 61 332 46 0
 56 338 46 0
 57 340 46 0
 63 340 42 0
 68 342 47 0
 63 336 47 1
 60 338 52 0
 56 339 57 0
 59 338 59 0
 62 341 55 0
 66 341 62 0
 62 353 61 0
 62 360 62 0
 60 371 63 0
 62 372 66 0
 61 383 69 0
 59 383 72 0
 65 393 74 0
 66 396 79 0
 69 401 77 0
 71 394 76 0
 74 398 75 0
 76 403 74 0
 76 409 75 0
 70 409 77 0
 71 401 78 0
 69 399 78 0
 64 400 82 0
 61 396 82 0
 60 395 80 0
 62 399 82 0
 55 416 82 0
 54 419 85 0
 59 410 85 0
 60 406 84 0
 61 406 85 0
 60 406 91 0
 64 416 96 0
 64 424 96 0
 65 428 101 0
 67 420 97 0
 70 415 99 1
 66 414 96 1
 69 433 100 1
 79 433 112 1
 81 420 104 1
 84 417 110 1
 86 400 107 1
 89 404 109 0
 85 402 118 0
 81 416 118 0
 79 416 120 0
 73 422 127 0
 67 422 140 0
 67 444 144 0
 61 447 141 0
 64 440 139 1
 64 429 141 2
 79 430 141 2
 83 418 139 2
 82 417 140 2
 86 427 136 2
 77 431 141 2
 73 422 143 1
 72 434 143 1
 71 426 148 0
 66 409 153 0
 68 416 159 0
 67 408 157 0
 70 401 160 0
 65 384 158 0
 60 376 163 0
 58 380 169 0
 61 370 164 0
 54 373 168 0
 50 370 174 0
 51 360 176 0
 47 371 184 0
 45 369 188 0
 55 366 201 0
 53 365 215 0
 53 366 215 0
 55 371 206 0
 54 363 202 0
 53 357 202 0
 52 352 201 0
 55 349 208 0
 60 349 218 0
 64 344 221 0
 68 345 217 0
 65 343 220 0
 64 344 222 0
 61 331 218 0
 64 334 223 0
 65 334 224 0
 62 331 229 1
 68 326 226 1
 74 347 228 1
 76 341 234 1
 80 342 230 1
 76 329 231 1
 84 327 232 1
 95 316 241 1
 106 300 245 1
 105 303 247 2
 109 309 261 2
 112 313 265 2
 111 315 268 2
 111 299 277 2
 99 301 288 4
 101 295 295 3
 98 298 310 3
 90 294 312 3
 89 304 321 4
 90 297 318 4
 86 284 324 4
 91 280 315 2
 92 273 317 2
 77 269 312 3
 70 264 307 4
 70 251 305 4
 68 247 302 4
 67 241 303 4
 69 231 302 5
 60 224 279 8
 57 212 288 7
 57 222 280 6
 55 211 272 6
 51 212 278 6
 49 203 287 4
 54 201 292 5
 53 197 296 6
 56 201 315 6
 51 202 330 8
 50 196 343 8
 51 191 336 9
 53 176 338 9
 56 169 345 11
 55 161 352 9
 59 171 356 9
 54 162 353 8
 54 160 345 8
 52 170 350 9
 50 165 345 9
 49 164 341 10
 47 162 344 14
 46 153 328 17
 47 151 330 17
 39 157 337 15
 40 159 329 16
 43 166 321 19
 43 162 327 19
 41 163 344 19
 42 167 335 16
 39 181 336 19
 38 184 350 19
 36 184 371 18
 38 185 359 16
 34 178 356 14
 35 172 373 15
 31 169 377 14
 32 177 388 12
 36 176 403 10
 37 176 400 8
 33 178 424 6
 30 177 416 6
 30 176 414 6
 29 177 402 5
 29 177 394 4
 31 173 394 3
 34 178 403 3
 32 176 394 2
 35 178 392 0
 39 176 392 0
 36 166 394 0
